CONTENT ID,CONTENT TYPE,MIRNA ID,SPECIES,EXPERIMENT ID,METHODS,Entrez GENE ID,COMMENTS
1.0,mirna,let-7a,Mus musculus,15.0,miRCURY LNA Array,387244,Clear hit to Entrez gene ID
2.0,mirna,let-7b,Mus musculus,15.0,miRCURY LNA Array,387245,Clear hit to Entrez gene ID
3.0,mirna,let-7c,Mus musculus,15.0,miRCURY LNA Array,387246,Clear hit to Entrez gene ID
4.0,mirna,let-7d*,Mus musculus,15.0,miRCURY LNA Array,387247,Clear hit to Entrez gene ID
5.0,mirna,let-7d,Mus musculus,15.0,miRCURY LNA Array,387247,Clear hit to Entrez gene ID
6.0,mirna,let-7e,Mus musculus,15.0,miRCURY LNA Array,75202,Clear hit to Entrez gene ID
7.0,mirna,let-7f,Mus musculus,15.0,miRCURY LNA Array,387252,Ambiguous mapping to Entrez gene ID
8.0,mirna,let-7f,Mus musculus,15.0,miRCURY LNA Array,387253,Ambiguous mapping to Entrez gene ID
9.0,mirna,let-7i,Mus musculus,15.0,miRCURY LNA Array,387251,Clear hit to Entrez gene ID
10.0,mirna,miR-106b,Mus musculus,15.0,miRCURY LNA Array,723925,Clear hit to Entrez gene ID
11.0,mirna,miR-107,Mus musculus,15.0,miRCURY LNA Array,723826,Clear hit to Entrez gene ID
12.0,mirna,miR-10a,Mus musculus,15.0,miRCURY LNA Array,723893,Clear hit to Entrez gene ID
13.0,mirna,miR-129-5p,Mus musculus,15.0,miRCURY LNA Array,NOTFOUND,NOTFOUND
14.0,mirna,miR-130b,Mus musculus,15.0,miRCURY LNA Array,723816,Clear hit to Entrez gene ID
15.0,mirna,miR-140*,Mus musculus,15.0,miRCURY LNA Array,387158,Clear hit to Entrez gene ID
16.0,mirna,miR-142-3p,Mus musculus,15.0,miRCURY LNA Array,NOTFOUND,NOTFOUND
17.0,mirna,miR-142-5p,Mus musculus,15.0,miRCURY LNA Array,NOTFOUND,NOTFOUND
18.0,mirna,miR-146b,Mus musculus,15.0,miRCURY LNA Array,751550,Clear hit to Entrez gene ID
19.0,mirna,miR-150,Mus musculus,15.0,miRCURY LNA Array,387168,Clear hit to Entrez gene ID
20.0,mirna,miR-15a,Mus musculus,15.0,miRCURY LNA Array,387174,Clear hit to Entrez gene ID
21.0,mirna,miR-15b,Mus musculus,15.0,miRCURY LNA Array,387175,Clear hit to Entrez gene ID
22.0,mirna,miR-16,Mus musculus,15.0,miRCURY LNA Array,387134,Clear hit to Entrez gene ID
23.0,mirna,miR-17-3p,Mus musculus,15.0,miRCURY LNA Array,723905,Clear hit to Entrez gene ID
24.0,mirna,miR-17-5p,Mus musculus,15.0,miRCURY LNA Array,723905,Clear hit to Entrez gene ID
25.0,mirna,miR-18,Mus musculus,15.0,miRCURY LNA Array,387135,Clear hit to Entrez gene ID
26.0,mirna,miR-182,Mus musculus,15.0,miRCURY LNA Array,387177,Clear hit to Entrez gene ID
27.0,mirna,miR-183,Mus musculus,15.0,miRCURY LNA Array,387178,Clear hit to Entrez gene ID
28.0,mirna,miR-184,Mus musculus,15.0,miRCURY LNA Array,387179,Clear hit to Entrez gene ID
29.0,mirna,miR-185,Mus musculus,15.0,miRCURY LNA Array,387180,Clear hit to Entrez gene ID
30.0,mirna,miR-191,Mus musculus,15.0,miRCURY LNA Array,387186,Clear hit to Entrez gene ID
31.0,mirna,miR-207,Mus musculus,15.0,miRCURY LNA Array,387203,Clear hit to Entrez gene ID
32.0,mirna,miR-20a,Mus musculus,15.0,miRCURY LNA Array,387139,Clear hit to Entrez gene ID
33.0,mirna,miR-21,Mus musculus,15.0,miRCURY LNA Array,387140,Clear hit to Entrez gene ID
34.0,mirna,miR-214,Mus musculus,15.0,miRCURY LNA Array,387210,Clear hit to Entrez gene ID
35.0,mirna,miR-222,Mus musculus,15.0,miRCURY LNA Array,723828,Clear hit to Entrez gene ID
36.0,mirna,miR-23a,Mus musculus,15.0,miRCURY LNA Array,387216,Clear hit to Entrez gene ID
37.0,mirna,miR-23b,Mus musculus,15.0,miRCURY LNA Array,72061,Clear hit to Entrez gene ID
38.0,mirna,miR-24,Mus musculus,15.0,miRCURY LNA Array,387142,Clear hit to Entrez gene ID
39.0,mirna,miR-26a,Mus musculus,15.0,miRCURY LNA Array,387218,Clear hit to Entrez gene ID
40.0,mirna,miR-27b,Mus musculus,15.0,miRCURY LNA Array,72061,Clear hit to Entrez gene ID
